James Cook Univ,"Palmer, Caroline",Porites,massive sp.,PM 3BTS H&E 89 C. Palmer,PM 3BTS.HE.svs,H&E,,4% Paraformaldehyde PBS,Pink discoloration of compromised tissue. ,March 2006,,,,,,"Pioneer Bay, Orpheus Island, Palm Islands, GBR ",General inflammation response induced by direct contact with foreign matter and associated microbial communities. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRI - NOVA,"Renegar, Abby",Agaricia,agaricites,DSS D1 A. aga 1,DSS D1 A AGA 1.svs,Movat’s modified pentachrome ,,2% glutaraldehyde in sodium cacodylate buffered seawater ,Dark spot syndrome (DSS) ,June 2007,,,,I,,"Caribbean, Bahamas","Multifocal infection of unidentified microorganism, possibly a thraustochytrid or other Labyrinthulomycota (Azevedo & Corral 1997) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRI - NOVA,"St. Gelais, Adam",Siderastrea,siderea,Hills RPN 377 S. sid 11-8-07 2,RPN 377 S.svs,Heidenhain’s azocarmine-aniline blue ,,Z-Fix,Potential bleaching in reproductively active species. ,2007-11-08,,,,N,,"North Atlantic, High Cover Site 2 (HC2), inshore reef, Broward County, Florida","Possible spawning event with resorption of unspawned ova into the gastrodermis, or complete resorption of oocytes and “skipped” spawning due to prolonged elevated temperatures. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRI - NOVA,"Moulding, Alison",Madracis,decactis,Hills RPN 10-3-07 M. dec 315 1,RPN 315-1.svs,Heidenhain’s aniline blue ,,Z-Fix,Colony appeared healthy (within normal limits) ,2007-10-03,,,,N,,"AtlanticOcean, Broward County, Florida, at about 10 m depth",Spawning. The presence of sperm in the gastrovascular cavity indicates preparation for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA Southeastern Univ.,"Smith, Abraham",Acropora,cervicornis,SCI WBD RP 7-19-02 Sick?,01.svs,H&E,,Z-Fix,"Visible tissue loss starting near base of branches with algal colonization proximal to the margin of tissue loss, appears to be a slower-advancing type of white band syndrome. ",2002-07-19,,,,I,,"Southwestern Atlantic, Scooter, Fort Lauderdale, Florida, USA",Bacterial aggregates not present in this sample; cells look stressed but not as much as expected; a few oocytes look degraded. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA Southeastern Univ.,"Foster, Kristi",Porites,harrisoni,BVTN-59 13 Aug 07 P. harrisoni #2 HH,02.svs,Modified Heidenhain’s azocarmine-aniline blue ,,Z-Fix (1 part) and seawater (4 parts),No visible signs of heat stress or bleaching. Colonies appear healthy. ,2007-08-13,,,,N,,"Southeastern Arabian Gulf, Bu Tinah Island, Abu Dhabi, United Arab Emirates, approximately 3 m depth","Normal, unaffected by average summer maximum water temperature of 35°C (95°F) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Favia,fragum,8B-3064 ERLHU,10.svs,,,,,,,,,,,,3 = Reproduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Favia,fragum,83-3064 ERLHU,11.svs,,,,,,,,,,,,3 = Reproduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Siderastrea,siderea,80-1405 1 ERLHU,12.svs,,,,,,,,,,,,3 = Reproduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,LSI93115 HL P M CAV Oral Fix #1 coral,14.svs,,,,,,,,,,,,"1 = Fixation, staining comparative, Helly's Fixative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,LSI93115 #1 STF L M CAV X SEC FIX Coral,15.svs,,,,,,,,,,,,"1 = Fixation, staining comparative Streck Tissue Fixative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,LSI93115 HC L M CAV Oral Fix #1 Coral,16.svs,,,,,,,,,,,,"1 = Fixation, staining comparativeHistoChoice Fixative, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Sponge,species unknown,2001-87 1 H&E sponge,20.svs,,,,,,,,,,,,5 = Other species ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Sponge,species unknown,2001-87 2 Cason's sponge,21.svs,,,,,,,,,,,,5 = Other species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,astreoides,83-254C 1 embryo & early larva ERLHU,22.svs,,,,,,,,,,,,3 = Reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Dendrogyra,cylindrus,84-X15 2 ERLHU,26.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Acropora,palmata,ERLHU 81-207 3,31.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Dichocoenia,stokesii,86-68 Cason's,32.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Diploria,strigosa,80-1382 4 TMBB 2,33.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,ERLHU 80-1412 4,34.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,